Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"","","Dollar","Statehood Innovation Dollar Coin Collection","Maine","","$17.95","","","",""
"1979","S","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Proof-63","$125.00","Pending","","",""
"1964","","Dime","Roosevelt Dime Series","Unmapped","Average Circ","$0.00","Pending","","",""
"1924","D","Penny","Lincoln Head Penny","Lincoln Portrait","About Uncirculated","$13.50","Pending","","",""
"1971","","1 Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","Pending","","",""
"2004","P","Quarter","State and Territory Quarters","Texas","Uncirculated","1.95","Pending","","",""
"1912","","Half Dollar","Barber","Liberty Head","Very Good","$49.50","Pending","","",""
"1964","","Quarter","Washington Silver Quarter","Unmapped","Proof-63","25.95","$8 – $15","","",""
"2017","P","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$1.95","$1.00 – $3.00","","",""
"1998","D","Penny","Lincoln Cent","Lincoln Memorial Reverse","Uncirculated","$3.00","$0.10 - $0.50","","",""
"1927-2004","","Five Cents","The U.S. Nickel Collection","Shipment 4","","$31.80","","","",""
"1870","","","","Unmapped","Fine","$338.00","Pending","","",""
"1874","","Half Dollar","Liberty Seated","With Arrows","Average Circulated","$108.00","$125 – $225","","",""
"1944","","Quarter Dollar","USA Invoice Import","Unmapped","Average Circulated","$0.00","","","",""
"2024","","Cent","USA Invoice Import","Unmapped","Uncirculated","$0.00","","","",""
"1950","","Dime","Roosevelt Dime","America Revisited Selection","Circulated","$33.40","Pending","","",""
"1908","","Half Dollar","Barber","Liberty Head","Circulated","$47.25","$18 – $150","","",""
"2023","S","Quarter","American Women Quarters","Eleanor Roosevelt","Proof-63","$8.95","Pending","","",""
"1904","Pending","Dime","Barber Series","Liberty Head","Average Circulated","$22.50","$4 – $45","","",""
"2020","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$68.00","$35 – $45","","",""
"2007","D","$1","Presidential $1 Coin Program","John Adams","Uncirculated","4.95","$1.50 – $3.00","","",""
"1834","","Penny","Matron Head Large Cent","Liberty Head","VG-08","$85.50","$25 – $45","","",""
"2024","W","Dollar","American Eagle","Walking Liberty","Choice Proof-63","$240.00","","","",""
"1914","S","Penny","Lincoln Cent","Lincoln Cent (Wheat Reverse)","Very Good","$72.50","$18 – $28","","",""
"1942","P","Five Cents","USA Invoice Import","Jefferson","Average Circulated","$0.00","","","",""
"1850","O","Quarter","Liberty Seated","Liberty Seated, No Motto","Very Fine","$425.00","$1,100 – $1,600","","",""
"2011","P","Quarter","National Park Quarters","Olympic National Park","Mint State","$1.50","Pending","","",""
"2008","D","Quarter","State and Territory Quarters","New Mexico","Uncirculated","3.5","$0.25 – $1.00","","",""
"1929","","Dime","Mercury Dime","Winged Liberty Head","Good","Points","$2.50 – $4.00","","",""
"2022","","Dollar","American Eagle","Unmapped","Uncirculated","$39.95","$35 – $45","","",""
"1884","S","1 Dollar","Morgan Dollar","Unmapped","Very Fine","$112.50","$140 – $190","","",""
"1958","P","Nickel","Jefferson Nickel","Thomas Jefferson","Average Circulated","$0.80","$0.10 – $0.25","","",""
"1951","D","Quarter","Washington Silver Quarter","Unmapped","Average Circulated","21.50","$6 – $9","","",""
"1875","","20 Cents","20 Cent Piece","Seated Liberty","Good","$375.00","$110 – $150","","",""
"2008","P","Quarter","State and Territory Quarters","New Mexico","Uncirculated","2.95","Pending","","",""
"1953","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","26.95","Pending","","",""
"1897","S","1 Dollar","Morgan Silver Dollars","Unmapped","About Uncirculated","$112.50","$55 – $75","","",""
"1930","S","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Good","$32.47","Pending","","",""
"","","Dime","Roosevelt Dimes","Unmapped","Average Circulated","","$0.10 – $2.50","","",""
"1947","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$21.50","$1 – $5","","",""
"1980","D","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Uncirculated","$7.50","$1.50 – $3.00","","",""
"2012","S","Dime","America the Beautiful Quarters","Unmapped","Proof-63","85.50","$3 – $8","","",""
"1931","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"2017","D","Quarter","America the Beautiful Quarters","Indiana George Rogers Clark National Historical Park","Uncirculated","$1.00","$0.50 – $1.50","","",""
"1961","D","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$0.40","$0.15 – $3.00","","",""
"1869","Motto","Liberty Seated Silver Half Dollar","Liberty Seated Half Dollar","Liberty Seated","Good","177.00","$60 - $90","","",""
"2005","W","Dollar","American Eagle","Unmapped","Proof-63","$125.00","Pending","","",""
"1963","D","Dime","Roosevelt Dimes","Unmapped","Average Circulated","points","$2.00 – $3.00","","",""
"1882","","$5 National Bank Note","USA Invoice Import","Large Size Portland Maine Brown Back","Fine/Very Fine","$876.00","","1060","",""
"1918","S","Dime","Mercury Dime","Unmapped","Average Circulated","$29.25","Pending","","",""
"2013","S","$1","Presidential $1 Coin Program","William McKinley","Uncirculated","6.74","Pending","","",""
"2018","S","Roosevelt Dime","America the Beautiful Quarters","Unmapped","Uncirculated","$24.00","Pending","","",""
"1901","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1945","S","Dime","Mercury Dime","Winged Liberty Head","Average Circulated","$11.25","Pending","","",""
"1878","S","1 Dollar","Trade Dollar","Unmapped","Extremely Fine","$550.00","Pending","","",""
"2020","S","Dollar","American Eagle","San Francisco Emergency Issue","Uncirculated","$298.00","","","",""
"1981","D","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$0.30","Pending","","",""
"2019","P","Quarter","National Park Quarters","Michigan Pictured Rocks National Lakeshore","Uncirculated","$1.00","Pending","","",""
"1917","S","Half Dollar","Liberty Walking Half Dollar","Liberty Walking","Very Good","$49.50","Pending","","",""
"2008","D","Quarter","State and Territory Quarters","Hawaii","Uncirculated","3.0","$0.25 – $1.00","","",""
"2008","S","1 Dollar","Sacagawea Dollar","Unmapped","Proof-63","$31.95","$5 – $10","","",""
"1983","S","Dollar","Modern Commemorative Dollars","1983 Olympic Discus Thrower","Choice Proof 63","$135.00","$65.00","","Cardboard Holder / Binder",""
"1942","","Dime","Mercury Dime","Winged Liberty Head","Very Fine 35","$1009.00","$3.00 – $5.00","","",""
"2001","P","Quarter","State and Territory Quarters","Rhode Island","Uncirculated","2.25","$1.00 – $3.00","","",""
"1931","","Penny","Lincoln Head Penny","Lincoln Portrait","Average Circulated","$4.20","$0.15 – $0.75","","",""
"1979","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$6.50","$3 – $6","","",""
"2017","D","1 Dollar","Native American Dollar","Cherokee Syllabary Sequoyah","Uncirculated","$8.75","$2.00 – $4.00","","",""
"1886","P","1 Dollar","Morgan Silver Dollars","Liberty Head","Extremely Fine","$90.00","$40 – $50","","",""
"1976","S","1 Dollar","U.S. Bicentennial","Dwight D. Eisenhower","Proof-63","$31.35","Pending","","",""
"1911","D","Dime","Barber Dimes","Liberty Head","","$0.00","Pending","","",""
"","","Half Dime","The U.S. Coin Complete Denomination Set","Seated Liberty","","$75.00","","","",""
"1961","","Quarter","Washington Silver Quarter","Unmapped","Proof-63","29.50","$7 – $12","","",""
"1935","D","Dime","Mercury Dime","Winged Liberty Head","Good","$19.00","Pending","","",""
"1923","S","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Fine","$1175.00","Pending","","",""
"1892","S","$1","Morgan Silver Dollar","Unmapped","Choice Uncirculated","3995.0","Pending","","",""
"2010","D","Quarter","America the Beautiful Quarters","Yellowstone National Park","Uncirculated","$1.50","Pending","","",""
"1942","","Cent","Lincoln Wheat Cent","America Revisited Selection","Circulated","$19.80","Pending","","",""
"2002","S","Quarter","State and Territory Quarters","Indiana silver","Proof-63","22.5","Pending","","",""
"2011","S","Quarter","National Park Quarters","Mississippi Vicksburg National Military Park","Proof-63","$21.75","Pending","","",""
"2018","","$1 Silver Eagle","American Silver Eagle","Walking Liberty","Uncirculated","$0.00","","","",""
"2024","P","Washington Quarter","American Women Quarters Program","Dr. Mary Edwards Walker","Uncirculated","$0.00","Pending","","",""
"2007","S","$1","Presidential $1 Coin Program","George Washington","Proof-63","17.95","Pending","","",""
"1980","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","2.75","Pending","","",""
"1945","S","Nickel","Jefferson Nickel Series","Thomas Jefferson, Wartime Nickel","Uncirculated","$22.50","Pending","","",""
"1950","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Extremely Fine","$55.50","Pending","","",""
"1958","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Average Circulated","$39.50","Pending","","",""
"1889","","Quarter","Liberty Seated","Unmapped","Very Fine","$58.50","Pending","","",""
"1957","","Quarter Dollar","USA Invoice Import","Unmapped","Average Circulated","$0.00","","","",""
"2022","S","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Choice Proof 63","$14.95","Pending","","",""
"2025","","Quarter","American Women Quarters Program","Ida B. Wells","Uncirculated","1","Pending","","",""
"2006","D","Quarter","State and Territory Quarters","Nevada","Uncirculated","2.5","Pending","","",""
"1912","Pending","Dime","Barber Series","Liberty Head","Average Circulated","$19.00","Pending","","",""
"1955","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","17.75","Pending","","",""
"1942","S","Washington Quarter","The World War II U.S. Coin Collection","WWII","Ungraded","$0.00","Pending","","",""
"2004","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.00","$0.15 – $1.50","","",""
"1925","","Dime","Mercury Dime","Winged Liberty Head","Good","Points","Pending","","",""
"1959","D","Nickel","Jefferson Nickel Series","Thomas Jefferson","Average Circulated","$0.80","Pending","","",""
"1982","S","Penny","Lincoln Cent","Lincoln Head","Proof 63 (PR63)","$4.95","Pending","","",""
"2003","S","Quarter","State and Territory Quarters","Illinois silver","Proof-63","22.5","Pending","","",""
"1912","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","Pending","","",""
"2011","S","Quarter","National Park Quarters","Gettysburg National Military Park","Proof-63","$13.25","Pending","","",""
"1952","D","Penny","Lincoln Cent","Unmapped","Average Circulated","$0.70","Pending","","",""
"2007","P","$1","Presidential $1 Coin Program","Thomas Jefferson","Uncirculated","4.25","$1.50 – $3.00","","",""
"1928","S","Dollar","Peace Dollar","Unmapped","About Uncirculated","$150.00","$110 – $165","","",""
"2011","D","Quarter","National Park Quarters","Glacier National Park","Mint State","$1.50","Pending","","",""
"1991","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.00","Pending","","",""
"2001","S","Quarter","State and Territory Quarters","New York","Proof-63","5.75","Pending","","",""
"1891","O","$1","Morgan Silver Dollar","Unmapped","Gem BU","2995","Pending","","",""
"1918","D","Quarter","Standing Liberty Silver Quarter","Unmapped","About Uncirculated","$275.00","Pending","","",""
"2006","P","Quarter","State and Territory Quarters","North Dakota","Uncirculated","2.5","Pending","","",""
"1926","","Five Cents","USA Invoice Import","Unmapped","Very Good","$0.00","","","",""
"2011","S","Dime","Roosevelt Dimes","90% silver","Proof-63","31.50","Pending","","",""
"1976","","Dollar","The Complete Collection of Eisenhower Dollar Coins","Eisenhower Dollar and Stamp","","$49.95","","","",""
"2017","P","Quarter","National Park Quarters","Effigy Mounds National Monument","Mint State","$2.25","$0.25 – $1.00","","",""
"2018","P","Quarter","America the Beautiful Quarters","Rhode Island Block Island National Wildlife Refuge","Uncirculated","$1.00","$0.50 – $2.00","","",""
"1964","","Dime","Roosevelt Silver Dime","Unmapped","Ch Proof-63","$26.95","$3 – $6","","",""
"1909","Pending","Dime","Barber Series","Liberty Head","Very Good","$26.95","$4 – $125","","",""
"1952","","Cent","Lincoln Wheat Cent","Unmapped","Circulated","$21.80","Pending","","",""
"2000","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$6.95","$1.00 – $3.00","","",""
"2024","D","Cent","USA Invoice Import","Unmapped","Uncirculated","$0.00","","","",""
"1899","","Penny","Indian Head Cent","Unmapped","Good","$0.00","$1.50 – $3.00","","",""
"1913","S","Penny","Lincoln Cent Series","Abraham Lincoln","Very Good","$55.00","$12 – $18","","",""
"1917","","Dime","Mercury Dime","Winged Liberty Head","Genuine","Points","$3 – $6","","",""
"1884","CC","Morgan Silver Dollar","Morgan Silver Dollar","Unmapped","Ungraded","$795.00","$250 – $450","","",""
"2021","D","Quarter","National Park Quarters","Tuskegee Airman National Historic Site","Mint State","$1.00","Pending","","",""
"1902-2009","","Five Cents","The U.S. Nickel Collection","Shipment 18","","$31.80","","","",""
"1934","","Quarter","Washington Silver Quarter","Unmapped","BL unc58","695.00","$35 – $55","","",""
"1919","","Dime","Mercury Dime","Unmapped","Very Good","$23.50","Pending","","",""
"1882","","Dime","Liberty Seated Silver Dime","Unmapped","Proof-63","$1295.00","Pending","","",""
"1935","","Cent","Lincoln Wheat Cent","America Revisited Selection","Circulated","$20.40","Pending","","",""
"2020","S","Quarter","National Park Quarters","Salt River Bay National Historical Park","Mint State","$1.25","Pending","","",""
"1877","","","","Unmapped","Good","$948.00","Pending","","",""
"1927","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","Pending","","",""
"1919","","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Fine/Extra Fine","$145.00","Pending","","",""
"1872","","Dime","Liberty Seated Silver Dime","Unmapped","Very Fine","$86.95","Pending","","",""
"1970","","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","3.95","Pending","","",""
"1891","","$1 Treasury Note","USA Invoice Import","Large Size","Fine 15","$539.00","","","",""
"1886","","","","Unmapped","Fine","$76.50","Pending","","",""
"2016","S","Quarter","National Park Quarters","Illinois Shawnee National Forest","Uncirculated","$1.50","Pending","","",""
"1929","D","1 Dime","Mercury Silver Dime","Unmapped","Average Circulated","$27.00","Pending","","",""
"1857","","Seated Liberty Half Dime","","Stars","Choice AU58","$225.00","Pending","","",""
"1947","","Nickel","","Unmapped","Average Circulated","$2.25","$0.10 – $0.25","","",""
"2021","D","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","1.25","$0.15 – $1.00","","",""
"1841","O","Half Dollar","Liberty Seated","No Motto","About Fine","$130.50","$125 – $225","","",""
"1929","S","Penny","Lincoln Head Penny","Unmapped","Average Circulated","","Pending","","",""
"1819","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","Very Fine","$212.00","Pending","","",""
"1910","S","Penny","Lincoln Wheat Cent","Abraham Lincoln","Very Good","$429.00","Pending","","",""
"1900","Pending","Dime","Barber Series","Liberty Head","Good","$23.95","Pending","","",""
"1910","S","Nickel","Liberty Head Nickel","Liberty Head","Fine","$65.00","Pending","","",""
"2023","","Quarter Dollar","The Celebrating America Coin Collection","Maria Tallchief","","$17.95","","","",""
"1928","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","Pending","","",""
"1899","S","25 Cents","Barber Silver Quarters","Liberty Head","AC","$52.50","$120 – $180","","",""
"2012","P","Quarter","National Park Quarters","El Yunque National Forest","Mint State","$1.00","Pending","","",""
"1854","","Quarter","Liberty Seated","Liberty Seated, Arrows at Date","Fine","$85.50","Pending","","",""
"2014","P","$1","Presidential $1 Coin Program","Franklin D. Roosevelt","Uncirculated","3.50","$2.00 – $4.00","","",""
"2000","","Dollar","American Eagle","Unmapped","Uncirculated","$69.95","$38 – $48","","",""
"1879","","Quarter","Liberty Seated","Liberty Seated, With Motto","AU53","$1150.00","Pending","","",""
